feature,importance
slopeV0-500_sma3nz_amean,0.13777088
slopeUV0-500_sma3nz_amean,0.099919215
MeanUnvoicedSegmentLength,0.040893897
loudness_sma3_percentile20.0,0.028052352
equivalentSoundLevel_dBp,0.026429804
slopeUV500-1500_sma3nz_amean,0.017781323
loudness_sma3_percentile80.0,0.01605913
mfcc1V_sma3nz_amean,0.014795204
loudness_sma3_percentile50.0,0.014730182
mfcc2_sma3_amean,0.014697163
spectralFlux_sma3_amean,0.014686969
F1bandwidth_sma3nz_stddevNorm,0.014569838
F3amplitudeLogRelF0_sma3nz_amean,0.014498975
logRelF0-H1-A3_sma3nz_stddevNorm,0.014052154
spectralFluxV_sma3nz_amean,0.013252763
VoicedSegmentsPerSec,0.012848375
mfcc2V_sma3nz_amean,0.012234591
shimmerLocaldB_sma3nz_amean,0.012091383
loudness_sma3_stddevNorm,0.011728918
MeanVoicedSegmentLengthSec,0.011598674
HNRdBACF_sma3nz_stddevNorm,0.011495711
spectralFluxV_sma3nz_stddevNorm,0.011449309
F0semitoneFrom27.5Hz_sma3nz_amean,0.011289817
alphaRatioUV_sma3nz_amean,0.011275143
alphaRatioV_sma3nz_amean,0.011198428
alphaRatioV_sma3nz_stddevNorm,0.01077192
spectralFlux_sma3_stddevNorm,0.010676896
slopeV0-500_sma3nz_stddevNorm,0.010483633
loudness_sma3_amean,0.010420551
mfcc2V_sma3nz_stddevNorm,0.010278103
hammarbergIndexV_sma3nz_stddevNorm,0.009761498
F3bandwidth_sma3nz_stddevNorm,0.009627116
mfcc1_sma3_amean,0.009603309
shimmerLocaldB_sma3nz_stddevNorm,0.009596022
F0semitoneFrom27.5Hz_sma3nz_stddevNorm,0.009376402
F2bandwidth_sma3nz_amean,0.009224251
slopeV500-1500_sma3nz_stddevNorm,0.009038715
mfcc4_sma3_stddevNorm,0.008978747
F1amplitudeLogRelF0_sma3nz_amean,0.008948479
F0semitoneFrom27.5Hz_sma3nz_percentile80.0,0.008711955
F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,0.008708967
F1amplitudeLogRelF0_sma3nz_stddevNorm,0.008699543
mfcc4_sma3_amean,0.008632241
spectralFluxUV_sma3nz_amean,0.008599726
hammarbergIndexUV_sma3nz_amean,0.008443032
hammarbergIndexV_sma3nz_amean,0.008161276
loudness_sma3_stddevFallingSlope,0.008137123
mfcc4V_sma3nz_stddevNorm,0.008127684
F0semitoneFrom27.5Hz_sma3nz_percentile20.0,0.007917679
loudness_sma3_meanRisingSlope,0.007685604
F1bandwidth_sma3nz_amean,0.0075582894
F1frequency_sma3nz_stddevNorm,0.0074830707
HNRdBACF_sma3nz_amean,0.007474953
StddevVoicedSegmentLengthSec,0.0073190313
F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,0.0073047434
loudness_sma3_stddevRisingSlope,0.007276288
F3amplitudeLogRelF0_sma3nz_stddevNorm,0.00716964
mfcc3V_sma3nz_stddevNorm,0.0071092374
mfcc4V_sma3nz_amean,0.0070768185
mfcc2_sma3_stddevNorm,0.006781383
F2amplitudeLogRelF0_sma3nz_amean,0.0065498995
F2bandwidth_sma3nz_stddevNorm,0.0064290413
mfcc1_sma3_stddevNorm,0.0062230173
slopeV500-1500_sma3nz_amean,0.0062224776
loudness_sma3_pctlrange0-2,0.0056922147
mfcc3V_sma3nz_amean,0.005426041
jitterLocal_sma3nz_stddevNorm,0.0053132307
F3frequency_sma3nz_stddevNorm,0.0052409163
loudness_sma3_meanFallingSlope,0.0052235033
jitterLocal_sma3nz_amean,0.0050591724
F0semitoneFrom27.5Hz_sma3nz_percentile50.0,0.0050156857
logRelF0-H1-A3_sma3nz_amean,0.0049950434
mfcc3_sma3_amean,0.0046913824
F2amplitudeLogRelF0_sma3nz_stddevNorm,0.0041917814
loudnessPeaksPerSec,0.0034499425
F2frequency_sma3nz_amean,0.0029582256
logRelF0-H1-H2_sma3nz_amean,0.0029323879
mfcc1V_sma3nz_stddevNorm,0.002896945
logRelF0-H1-H2_sma3nz_stddevNorm,0.0025457244
F1frequency_sma3nz_amean,0.0025384221
StddevUnvoicedSegmentLength,0.0024657475
F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,0.0018011525
mfcc3_sma3_stddevNorm,0.0015738496
F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,0.0
F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,0.0
F3bandwidth_sma3nz_amean,0.0
F2frequency_sma3nz_stddevNorm,0.0
F3frequency_sma3nz_amean,0.0
